input_1	Gold	Pred	Gold_Label	Predicted_Label
One morning my mother came by to get my daughter for school, and told me she saw that my daughter's cat had been hit on the road. He was dead, and I had to tell my daughter. She loved her cat so much, it was very difficult.	27	10	sad	devastated
We recently went to the beach for our vacation and it rained a few days while there. We were hoping to spend every day at the beach.	11	25	disappointed	prepared
I feel alone whenever i think about my dad.. He passed away last year.	23	23	lonely	lonely
I recently started talking to and lightly dating a woman. I really enjoy her company. I thought we would end up being together, but she recently moved and now treats me differently.	29	19	surprised	hopeful
Going out today to learn a new route for my job and hoping I don't get lost.	5	5	apprehensive	apprehensive
We paid 600$ for a cruise, but they canceled it with not refunds one week before. so mad	1	16	angry	furious
i would be too.	33	33	acknowledging	acknowledging
I recently went to a rock concert. We weren't going to go, but someone gave her 3 free tickets. We went and had a great night.	17	17	grateful	grateful
I was in charge of moving a whole bunch of stuff at work from one building to another, and one of my co-workers bailed on us.	1	16	angry	furious
I was on my way home from work, and a seagull threw up all over my suit in the middle of the train station! I was a total mess, so may people were watching!	13	13	embarrassed	embarrassed
I'm very annoyed because my friend didn't give me my money back	2	1	annoyed	angry
I decided to go back to school this year. I'm was pretty hesitant at first, but now I'm excited about learning more!	5	19	apprehensive	hopeful
I was so mad when I went to work the other morning when I was going to work and my neighbors dog jumped up on me and knocked me over. I hurt my back and couldn't go to work. The dog needs to be on a leash.	1	1	angry	angry
When a new star wars movie comes out, a lot of kids (and adults to) dress up for the midnight premier. It reminds me of seeing Episode I for the first time, where me and a friend dressed up as a Jedi and a Sith.	24	24	nostalgic	nostalgic
i hope my little ones are like that.	34	34	encouraging	encouraging
I'm loyal to my principles, that's why I do not eat meat	15	15	faithful	faithful
I wanted to start a ketogenic diet, but I knew nothing about it. So I rented some books from the library and got a Kindle Unlimited subscription to check out the cookbooks on there. Then I compiled some meal plans and grocery lists to start my diet.	25	25	prepared	prepared
Once, I was showing some people around the downtown area in my city. While at dinner, I soiled myself, and had to wash off in the sink in the small bathroom. An employee opened the door, and there I was, washing my pants.	13	13	embarrassed	embarrassed
I prayed, and prayed for weeks that I would do good in a test. Luckily God answered my prayers, and I passed!	15	8	faithful	confident
My dog had a medical emergency and I didn't have the money to cover it, so my parents loaned me some money until I got paid.	17	17	grateful	grateful
I was sad when my dog died	27	27	sad	sad
I recently got my tires fixed on my car. The shop did it so quickly!	20	20	impressed	impressed
i hope you get one very soon buddy	34	39	encouraging	Wishing
she got with him for money	21	40	jealous	neutral
My long term boyfriend and I broke up recently. I'm so lost right now.	27	23	sad	lonely
My husband travels extensively for work, so I have to have faith that he will be loyal and faithful to me when he is on business trips.	31	15	trusting	faithful
I just did a bunch of work and messed it up in the end.  Now I'm not sure if I'll get paid.	2	11	annoyed	disappointed
My husband is on the road a lot, it often gets lonley. I have to remember he does it for our family and try to enjoy the alone time.	15	23	faithful	lonely
My mother recently took out a bunch of money on my behalf from the bank. I trust her so much!	31	31	trusting	trusting
I was eating dinner last night and and I just felt so happy for a moment it was great	9	9	content	content
I was chased by someone down a street last night, I was shaking in fear.	30	30	terrified	terrified
he is correct.	32	40	agreeing	neutral
hopefully she re considers you should talk to her about it	35	37	consoling	suggesting
happy birthday!!!!	39	39	Wishing	Wishing
When I got my first car I thought I'd finally have a cool social life.  My first night out I spent alone at a Whataburger..	23	9	lonely	content
what if someone did that to your stuff?	37	37	suggesting	suggesting
I pooed my pants one day at work. I have MS and sometimes during flare ups i have bowel control problems.	13	13	embarrassed	embarrassed
We are going to be having our 7th grandbaby soon! I am so happy!!	22	22	joyful	joyful
well hopefully you're able to familiarize yourself quickly.	35	35	consoling	consoling
My dog got very sick and didn't leave her bed for weeks.  I was so concerned that I stayed with her most of that time.  I'd lay beside her bed with her, trying to comfort her and make sure she had everything she needed.	7	7	caring	caring
I had planned to take my daughters shopping a couple of weeks ago. We were all very excited about it, but the plans fell through. I was able to take them shopping later so that made me feel a little better.	11	17	disappointed	grateful
i wish you the best in the new position.	39	39	Wishing	Wishing
i hope it goes exactly how you planned.	34	34	encouraging	encouraging
My parents have not gotten over the loss of my sister. They need to get some help from a trained professional.	0	27	afraid	sad
did you have candles or a flash light to help yous see?	38	38	questioning	questioning
it's ok to be nervous, but don't let it stop you!	40	33	neutral	acknowledging
I waited at a restaurant for 30 minutes before I called and left my girlfriend an angry voicemail. Turns out she had been in a car crash, and was talking to the Police Officer.	18	29	guilty	surprised
I wanna sell my phone but i'm scared to meet people from craigslist	0	5	afraid	apprehensive
I saw a horror film last night. It was so scary!	30	30	terrified	terrified
good luck to you!	39	39	Wishing	Wishing
I bought a new tv. The colors are so vibrant and it is so sharp!	20	22	impressed	joyful
I was bathing my dog in the backyard this weekend, and she got loose. She then went and rolled in the dirt getting extra filthy.	12	12	disgusted	disgusted
My husband usually gets a large bonus this month or September. It's not a guarantee, so it's not easy waiting to find out!	3	3	anticipating	anticipating
Today when I was home alone I was snuggling with a stuffed bunny my ex got me, because I missed him. I feel so pathetic.	23	23	lonely	lonely
One day I found out that my boyfriend was texting his ex-girlfriend. I think he likes her more than he likes me	21	15	jealous	faithful
I had to wait a few weeks to get some results back from a test at the doctor's office.	4	4	anxious	anxious
Last week I had Thai food for lunch, and it didn't sit well with my stomach. I had some explosive issues later in the day at work, and the bathroom was near all of my coworkers' cubicles. Needless to say, the stench ended the workday a little early.	13	12	embarrassed	disgusted
When I found out that I wasn't going to be one of the ones who gets to walk on the moon during the upcoming lunar missions, I took it pretty hard. I've been training my whole life for this, and now I just have to do lame NASA grunt work because I have a "communicable disease that makes me a flight risk." It's just ebola, what's the big deal?	10	5	devastated	apprehensive
I am in love with my girlfriend. I would absolutely never leave her side.	15	15	faithful	faithful
i've read an article about a little newborn babygirl. She died because she was premature and she had problems breathing on her own when she was born but parents didn't take her to the hospital because they don't believe in medication	27	7	sad	caring
A few months ago we were planning our wedding and I couldn't wait for the actual day. It was a small wedding, but it was still just as special and I'm so happy I married my best friend.	14	22	excited	joyful
I felt so much love and affection when my son was moving to college. It was hard, as I wasn't ready, but was so proud of him!	7	28	caring	sentimental
I really enjoy watching videos on YouTube. I feel the content is really good.	9	20	content	impressed
I gave twin fawns in our yard some fresh peaches and they loved them.	7	7	caring	caring
Sometimes I look back to my childhood and I miss when things were more simple, like when I would ride around my neighborhood all day with my friends. We would just ride from sun up to sun down without a care in the world. Only stopping back at the house to get an afternoon snack from our parents.	24	24	nostalgic	nostalgic
I was walking home from work one day. Then this huge bat came out of nowhere, and chased me for a whole hour!	30	30	terrified	terrified
hopefully you and your house will stay nice and dry.	34	35	encouraging	consoling
congratulations on your upcoming finish!	39	39	Wishing	Wishing
I get annoyed when adults don't seem to be able to clean up after themselves -- especially at work! Who do they think will clean up after them?!	2	2	annoyed	annoyed
I've been saving up for a new car for the past month and am making great progress!	26	26	proud	proud
Last week we had to go to a funeral. It really hit me hard seeing all my grieving friends.	27	27	sad	sad
my uncle use to be an iron worker, so i know exactly what you are talking about.	32	32	agreeing	agreeing
I was astonished when the cat came through the window	29	29	surprised	surprised
I've got a job interview set up for next week and I'm really nervous!	5	4	apprehensive	anxious
Last year when I turned 40, I was trying to keep things very low key because I wasn't feeling great about getting older. My kids planned a party for me that I didn't know about and invited all my friends and family. It really was just what I needed to cheer me up.	29	29	surprised	surprised
when they just cut in front of you with no warning.	38	16	questioning	furious
Went on a long international flight and we experienced the worst turbulence I had ever been through.	30	30	terrified	terrified
I'm anxious, if excited, about an upcoming move. We've lived overseas before, but *this* is a very different in terms of both location and climate.	5	5	apprehensive	apprehensive
My grandpa is coming to visit!	22	14	joyful	excited
It was really cool to be at the award ceremony for my friend whose paper received a scholarship. I knew she had a good piece of writing on her hands that I'd helped edit, but I didn't expect it to win an award!	20	29	impressed	surprised
I was confident that I was going to win that prize	8	8	confident	confident
yes, i agree, are you hoping for something in particular.	32	38	agreeing	questioning
i was beet red when i realized what had happened.	40	40	neutral	neutral
ooh, am so sorry about that.	36	36	sympathizing	sympathizing
that must have been so nostalgic for you!	33	33	acknowledging	acknowledging
I just got my degree in marketing and I have achieved it with flying ranks.	22	26	joyful	proud
Found out some bad news today. Due to a technicality, custody reverts back to my kids dad.	10	10	devastated	devastated
when my wife left me a year ago i went a little stir crazy. it was so silent in the house, i had to get out and make new friends.	23	23	lonely	lonely
I feel blue whenever i see a picture of my dog.. She died few months ago	28	27	sentimental	sad
I was given the opportunity to work at a new job that I was hoping to get! I never thought it would be possible!	17	22	grateful	joyful
I came home from work last night and my step dad scared me!	29	30	surprised	terrified
what was is your doctorate in?	38	38	questioning	questioning
My brother has gotten really good at bowling. He spins it like crazy!	20	20	impressed	impressed
when my sister came home for christmas	29	29	surprised	surprised
My grandma sent me a birthday card in the mail! She is such a sweet lady.	17	29	grateful	surprised
I felt this morning I left the house and my neighbor gave me some flowers ... incredible I did not expect it	29	29	surprised	surprised
My husband came home from shopping a couple days before Mother's Day and he gave me some unexpected gifts. He had got me a beautiful diamond ring, along with some other wonderful gifts!	29	29	surprised	surprised
My friend bought me lunch	17	17	grateful	grateful
Taking a large amount of classes this upcoming semester.	30	25	terrified	prepared
Getting woken up in the middle of the night was scary as heck	30	30	terrified	terrified
i was feels more surprised that my boy friend give me a gift for my birthday	29	29	surprised	surprised
It seems like no one lately can drive right. They're always speeding or cutting you off. Also no blinker use.	1	2	angry	annoyed
I stole a TV from a local appliance store. It is a 80 inch behemoth, but I am feeling a little guilty. On the plus side, the 4k picture is astounding!	6	29	ashamed	surprised
i wish you the best of luck with the remaining classes!	39	39	Wishing	Wishing
mostly me and my older brother when we were younger.	40	40	neutral	neutral
I'm so happy, my husband was offered a better paying job in his hometown. We move in November.	17	22	grateful	joyful
My roommate ate my lunch that I left in the fridge! I cannot stand that!	16	1	furious	angry
sorry to hear that.	36	36	sympathizing	sympathizing
I think it's great how well my husband is doing in his new manager job. He's become the top assistant in his market in just 2 years.	20	20	impressed	impressed
It really bothers me that my son keeps putting dirty socks in his toy box. No matter what I have tried he still does it.	2	2	annoyed	annoyed
sometimes it's not just a shadow	40	0	neutral	afraid
sorry.. hopefully he is at a better place now.	35	36	consoling	sympathizing
Thank God it's friday	22	17	joyful	grateful
I heard a lot of cool songs on a radio station I usually don't listen to. It really took me back to the 90s.	24	24	nostalgic	nostalgic
my little brother dumped a glass of water on me while i was sleeping just because we are in a prank war	16	1	furious	angry
i hope it dont bite anyone.	34	35	encouraging	consoling
When I took my daughter to the skate park she was able to ride up and down a lot of ramps. She was way better than I expected.	20	20	impressed	impressed
I woke up this morning, and my mailbox had been smashed in. I think the neighborhood teens had smashed it with a bat.	1	1	angry	angry
but they are wrong.	40	40	neutral	neutral
I really was grossed out when my nephew threw up the other day. He had eaten to much sugar and was sick off and on for hours.	12	12	disgusted	disgusted
A customer is refusing to pay a bill because they claim it has already been paid but cannot provide any proof of doing so.	1	2	angry	annoyed
My boss made me work overtime yesterday and I didn't even get paid for it!	2	1	annoyed	angry
good luck!	39	39	Wishing	Wishing
I was looking at old photos of my family. It made me feel sad and nostalgic about the past.	28	28	sentimental	sentimental
I am annoyed by people who won't return their grocery carts, and just leave them in the parking lot!	2	1	annoyed	angry
I was going to go to the movies with a bunch of friends. But they all bailed on me and now I have to go alone.	23	23	lonely	lonely
My boyfriend has a female friend who he sometimes chooses to hang out with over me. We had a date planned last week, but he cancelled it to go to the movies with her. It's so frustrating.	21	21	jealous	jealous
I went to my mother in laws funeral last Sunday. My wife was very tearful, and needed to have her family around her in the difficult moment.	27	28	sad	sentimental
I asked out a girl from my class and she said yes.	8	8	confident	confident
I very much like this new female friend of mine. I just want to give her all of my love.	7	7	caring	caring
oh no i hope you stay safe	35	35	consoling	consoling
I was traveling internationally literally the day after a high level travel alert was issued for the region I was going.	0	25	afraid	prepared
I just had a delicious breakfast and am now casually relaxing in my room.	9	9	content	content
I had an unprofessional job interview.	2	5	annoyed	apprehensive
my friend is so nosy	2	2	annoyed	annoyed
I recently had an argument with my sister. The debate grew heated and we ended the conversation both very annoyed with one another.	2	1	annoyed	angry
I wanted to try this new pizza and it was terrible!	11	12	disappointed	disgusted
When my neighbors were away for a week I enjoyed a new lease of life. Peace and quiet, able to do what I wanted, when I wanted. It was lovely.	9	9	content	content
maybe i'll have to check it out	37	37	suggesting	suggesting
I work with a programming wizard. I recently asked for his help with a hard problem and I just sat back and watched him work. I didnt even understand what he was talking about.	20	20	impressed	impressed
I was so scared of going on the train, I do not like fast moving objects	5	0	apprehensive	afraid
I always feel so protective of my little sister.. I feel obliged to look after her	7	7	caring	caring
I have an appointment soon with my orthopedic surgeon, when he's going to tell me whether or not he can operate on my hip. I so want everything to go well, but am worried he'll say no, can't do it!	5	5	apprehensive	apprehensive
I went back to my home where I grew up and a flood of good memories came bavk to me. I had so many fun times with my best friends when I was a child.	24	24	nostalgic	nostalgic
It means a lot to me that my in-laws are helping us buy school clothes for our girls. That takes a burden off of us. They don't even realize how much they are helping us, they are just doing it because they love us and they love the girls.	17	17	grateful	grateful
that is great.	33	33	acknowledging	acknowledging
well at least you had a good time.	40	33	neutral	acknowledging
A squad car cut in to my lane head on the other day and I had nowhere to go, I was on a small crossbridge and he would not slow down at all. I could see that he was looking at the seat next to him and not straight ahead so I threw my car in reverse and hauled it.	0	16	afraid	furious
I recently moved to a new city. I left behind some good friends.	28	23	sentimental	lonely
I spent all weekend by myself, wish I was closer to my family.	23	23	lonely	lonely
My son is starting back to college in a few days. This made me think back to when he was smaller and realize how quick time goes by.	24	28	nostalgic	sentimental
I cosigned a loan with my son, expecting he would make the payments and he has let me down by being late every month.	11	11	disappointed	disappointed
My family is coming to town soon and the house is clean	25	9	prepared	content
I'm starting a new position at my job very soon. I'm really looking forward to it!	3	14	anticipating	excited
When I make my world famous chicken and rice, I like to cut up all the ingredients into small containers. Then I follow the cooking instructions down to a second. Makes the best rice, everytime.	25	25	prepared	prepared
I am grateful for my parents who helped me along the way when buying my first house. They helped with some groceries and with understanding my loan papers etcc.	17	17	grateful	grateful
oh i'm sorry, i hope you get the help that you need.	36	36	sympathizing	sympathizing
My little girl loves to wake up at night and ask for chocolate milk. What she doesn't know is I give her the sugar free variety.	7	7	caring	caring
me too.	32	32	agreeing	agreeing
When I first got my driver's license, I was so scared of getting into an accident.	5	30	apprehensive	terrified
I started thinking about the last time I hung out with a group of friends before moving away.	24	24	nostalgic	nostalgic
some guys shot my neighbour and ran into the woods	1	30	angry	terrified
We have been talking about trying a new restaurant that just opened a few months ago. I had been holding off because it's a little pricey and I'm worried I won't like the food even though it has gotten good reviews.	5	5	apprehensive	apprehensive
A big wind storm blew through my town and knocked over trees.  I looked outside and saw one of the trees in my yard was uprooted.  I worried that at any moment I'd hear the crash of a tree or branch on my room, or the sound of breaking glass.	0	30	afraid	terrified
i hope your pants covered them at least.	35	40	consoling	neutral
do you try to find ways to fill your time while you're waiting?	38	38	questioning	questioning
It was my birthday today! I came home from work to find a big pink cake and flowers from my husband!	10	29	devastated	surprised
I feel very upset about the treatment that some people can have with their pets, this is not good,	16	27	furious	sad
yes i know, good memories do help.	32	32	agreeing	agreeing
My husband usually gets a large bonus each year in the month of August or September. They aren't guaranteed, but have been very regular for several years. I am wishing this year will be the same!	19	19	hopeful	hopeful
My family was on a road trip earlier this week and had to stop at a gas station to use the bathroom. The bathroom looked clean but the 2 roaches said it wasn't.	12	12	disgusted	disgusted
i hope you get that call soon!	35	34	consoling	encouraging
so, how did you now do it	40	40	neutral	neutral
content: happy with my daily routine	9	9	content	content
Having a baby caused me to have a more optimistic view on life.	14	19	excited	hopeful
i can tell you it does get better and you are not alone.	35	32	consoling	agreeing
i bet your anxious about what the next chapter will be.	34	34	encouraging	encouraging
My Mother had called to set up a time to meet for lunch.  When the time came she couldn't make it because of health problems.	27	11	sad	disappointed
I decided to go on a soda fast for two days so that I could spend some time praying for my husband as he tried to quit smoking. I am addicted to soda so it was very hard. I did manage to make it without drinking soda for those two days but it was hard.	15	18	faithful	guilty
i know you deserve better	32	32	agreeing	agreeing
i'm sorry you were feeling down	36	36	sympathizing	sympathizing
I am mesmerized by the beauty of this world	20	9	impressed	content
I have a bunch of records that belong to my father before he passed away. Sometimes I put them on and imagine what it would have been like to party with him in the 70s.	28	24	sentimental	nostalgic
My friend got with a girl I liked. It sucks	21	21	jealous	jealous
I have a coworker that will not stop talking. He mostly talks about himself.	2	2	annoyed	annoyed
Once, I had plans to meet up with an old flame. I got to the spot and spotted her from across the room. She gave me a big hug, and then introduced me to her new boyfriend.	21	29	jealous	surprised
When I was a kid, my granpa bought me a dog. The dog was supposed to be a hunting dog, and he didn't want to keep it because I had made it into a pet. He ended up giving it away.	10	10	devastated	devastated
My youngest daughter is being potty trained.  Yesterday she decided she didn't want to be called a baby and got on the toilet by herself.	26	26	proud	proud
is this your first child?	38	38	questioning	questioning
ok, at least it was the right kind of cake you liked.	40	40	neutral	neutral
going near hights really makes me scared, i cannot go on reoller coasters because im afraid of heights	0	0	afraid	afraid
I was walking around my mansion at night one cold day in October. I then heard spooky sounds, and saw the ghost of Michael Jackson.	0	0	afraid	afraid
Having to give a presentation in front of the entire class	4	13	anxious	embarrassed
oh, i see!	33	33	acknowledging	acknowledging
I wish I never did it now	6	18	ashamed	guilty
My husband usually gets a large bonus each year around this time, but there's no guarantee. It's hard waiting, and not knowing!	4	19	anxious	hopeful
I went to a family reunion at my grandparents' house, which I hadn't been to in many years.  I visited with all my relatives and it brought up all sorts of memories from when I was a child.	28	24	sentimental	nostalgic
I just graduated from college! I feel so accomplished.	26	26	proud	proud
It was raining hard one night and the power shut off.	30	0	terrified	afraid
that sounds like heaven to me as well	33	33	acknowledging	acknowledging
I felt that the future looked bright after I found my first job	19	19	hopeful	hopeful
When people honk in traffic	1	2	angry	annoyed
I went on a road trip to Utah a few months ago by myself and missed my friends	23	23	lonely	lonely
I feel ready to take on this school year and pass with flying colors!	8	8	confident	confident
I am sad that I won't get to see the movie I want to see	27	27	sad	sad
I stole a Pokemon card from a friend when I was young. I feel guilty still.	18	18	guilty	guilty
Watching kids makes me remember the good old days	28	24	sentimental	nostalgic
I had a dream about my friends from high school the other night. It brought back all kinds of good memories from my teen years. It also made me miss my best friend from high school.	24	24	nostalgic	nostalgic
Getting a lot of projects done in a day	19	20	hopeful	impressed
i hope you have a good time at the concert, and she sings all the songs you're looking forward to.	34	34	encouraging	encouraging
I just told my next door neighbor that I'm moving out. He said he'd be really sorry to see me go. I really didn't expect him to say that - we only really see each other when he's walking his dog.	29	27	surprised	sad
there was this one time when I went to my friends 16th party.  When I was walking in her house I ran smack dab into their glass door.  It was so clean that I didn't see it.  I was mortified and the funny part is that I one a door prize later that evening	13	13	embarrassed	embarrassed
Trying to make amends with my mother.	31	7	trusting	caring
My parents are going to a tea room for their anniversary.  I wanted to go with them but when I called the restaurant they said they could not accommodate my special diet. I was so disappointed.	11	11	disappointed	disappointed
it was very noble from your side to act in this way	40	40	neutral	neutral
I felt really nervous after i agreed to meet my girlfriend's parents. I lost few pounds on the weeks that led up to it	4	5	anxious	apprehensive
When my daughter makes something new, I feel really pleased with her.	26	26	proud	proud
congratulations.	39	39	Wishing	Wishing
My cousin recently sent me a video she'd taken with her phone, It was a tour of my home village. What I saw horrified me and made me sick - they've built all manner of hideous buildings in really prominent places!	12	12	disgusted	disgusted
The other day was my sons birthday party! It was so much fun watching him open all his presents.	22	22	joyful	joyful
I met a friend online once and we met up in person.	31	29	trusting	surprised
My brother is turning 16 soon	22	27	joyful	sad
i agree!	32	32	agreeing	agreeing
I had planned a beach trip about a month before we actually went. I had so much trouble containing myself until the trip actually happened.	4	3	anxious	anticipating
I had just prepared an amazing mac and cheese dinner. It is so tasty and covered in pepper.	22	22	joyful	joyful
I have amazing friends. One of them drove me to the airport	17	17	grateful	grateful
I took my car to my mechanic, who I thought I could trust. He quoted me $1000 in parts and labor. I took it to another mechanic and he fixed it on the spot for $100.	1	31	angry	trusting
i cant help but laugh.	40	32	neutral	agreeing
if you were a kid, that deserves a pass!	40	40	neutral	neutral
I'm going to see my parents soon!	22	14	joyful	excited
I went through some boxes and found some of my childhood dolls.	24	24	nostalgic	nostalgic
I don't like being alone at night when my husband is working overnights. I want him back on days so badly.	23	23	lonely	lonely
My wife baked a huge bunch of cookies for a charity bake sale. I felt so bad eating so many, but they were so good.	18	18	guilty	guilty
I recently saw somebody I hadn't seen in years. It was a surreal experience!	29	29	surprised	surprised
The other night I was driving home in the rain and slid into the guard rail. It is going to cost so much to get my car fixed!	11	0	disappointed	afraid
i cannot wait for my trip next summer i have been planning it for over 2 years it is going to be great	14	14	excited	excited
I am disgusted that my food didn't come out the way I wanted it	12	12	disgusted	disgusted
I had just packed a roadside emergency kit in my car when a snowstorm hit and stranded me on a back road.	25	25	prepared	prepared
My boss finally noticed my hard work and gave me a pay raise! I'm so happy, I can finally take my family on a vacation this winter.	17	22	grateful	joyful
I saw a homeless guy the other day on my way home.	17	7	grateful	caring
I was driving across the street. I got rear ended while I was just trying to go out and get some milk and bread.	29	30	surprised	terrified
I am pretty certain that I am going to be matched with my first choice school of law. I did really well on the LSAT.	8	8	confident	confident
I was sitting on my back deck drinking a cup of coffee and just felt so wholesome and happy with life. It was great	9	9	content	content
My friend went out of his way to pick me up from work after my car broke down. I can't thank him enough.	17	17	grateful	grateful
did you get arrested?	38	38	questioning	questioning
i was really sad when my girlfriend broke up with me, it was devastating but i managed to overcome it	28	10	sentimental	devastated
I am disgusted because of my friends pulling pranks on me	12	12	disgusted	disgusted
Most people know Toys-R-Us shut down completely recently. It really made all my friends and I think back on the times we had there.	24	24	nostalgic	nostalgic
I was waiting to hear back about a job interview I went on.	19	4	hopeful	anxious
not yet prepared for baby, need fix up his room	25	25	prepared	prepared
Phone call from an old friend.	24	28	nostalgic	sentimental
i am sorry, maybe she will share?	37	37	suggesting	suggesting
Once, I came home from a night out and my room was ransacked. My roommate was an alcoholic, and he had even thrown some of my belongings in the bathtub.Of course, he didn't remember doing it either.	16	0	furious	afraid
i was so sad when i found out my pet horse died of cancer last week while i was over in vacation	10	10	devastated	devastated
I could not believe for my 40th birthday, I came home from work that evening and the house was quiet. I walked in and the house was filled with people shouting Happy Birthday. That was quite a shock.	29	29	surprised	surprised
I got in a car wreck one time. A guy pulled out in front of my. I hit my brakes, but couldn't stop in time. It totaled both of our cars.	29	1	surprised	angry
I get very annoyed when people don't return or acknowledge emails.	2	2	annoyed	annoyed
I get so jealous when my parents don't pay me any attention.	21	21	jealous	jealous
Ugh, I'm so annoyed. My husband went out with his friends again, the third time this week. I'm exhausted watching my daughter alone all the time.	21	23	jealous	lonely
I went to my girlfriend's work party. I ended up drinking too much with her co-workers. She made me feel better when we got home, and blamed it on one guy in particular.	17	18	grateful	guilty
I drove 4 hours to hang out with my family on a trip and we spent a total of about 2 hours together over 2 days. I wish I had just stayed home.	16	23	furious	lonely
I have a big date coming up and I can't get these butterfly feelings to go away.	4	4	anxious	anxious
I have a nest of yellow jackets in my front yard	2	30	annoyed	terrified
i hate when im smoking a cigarrete and the ash drops in my work pants and leaves a stain, it is easy to get off but i have to wait till i get home	1	2	angry	annoyed
I was in a drive-thru line and someone cut in front of some other people.  I confronted the guy about it and he basically told me to take a hike.  I was furious and blew up at him.  Finally he left the line but he flipped me off when he did.	1	16	angry	furious
I had to clean out my storage building to some roof damage. I found a box full of really old pictures. We enjoyed looking through all of our memories.	28	28	sentimental	sentimental
Ex's relapse.	11	27	disappointed	sad
i dont like when my girlfriend goes out to the club alone, i get really jelous	21	21	jealous	jealous
are you exploring any other options like adoption?	38	38	questioning	questioning
My mom home schooled me basically through my entire education besides college, since she knew it would be better for me.	17	26	grateful	proud
I found my cat the other day. She had been missing for 3 days. I found her on the side of the road, guts in the gutter	27	10	sad	devastated
My daughter is finally potty trained! I'm so happy and will save lots of money not buying diapers.	26	22	proud	joyful
I had a doctors appointment at 9 am, I had to wait an hour and a half to even start my appointment.	2	2	annoyed	annoyed
I recently found out the girl I am very attracted to might not like me in the same way. This makes me sad because we get along incredibly well.	11	21	disappointed	jealous
it was really hard to hear that there was a shooting in a gas station near me and there was 3 vitims i was really devastated	10	10	devastated	devastated
that's nice, i'm glad you feel that way.	33	33	acknowledging	acknowledging
I read in the news a family had a house fire and lost all of their animals. It makes me upset to think about how they died.	27	10	sad	devastated
I am happy with my friend, she has been an angel, she has not left me alone in difficult times	17	15	grateful	faithful
When I had to move for the first time I looked up all the moving tips in the world to figure out how to do it really well. It felt so great to be able to get everything moved and have not a single issue.	25	25	prepared	prepared
We are moving soon and I'm so ready to find out where to. I am ready to plan the move but hard to when you know nothing.	4	4	anxious	anxious
One time I found a photo album of pictures from my childhood. Looking at it really brought back memories	28	24	sentimental	nostalgic
i hate when i see people homeless in the street i dont know if i should get mad or sad	1	27	angry	sad
I recently went to a Steely Dan concert with my lady, and it reminded me of those crazy days back when we used to get in so much trouble. Times were so much simpler then.	24	24	nostalgic	nostalgic
she went behind my back but I found out via social media	11	15	disappointed	faithful
I have all my kids' things ready for the first day of school tomorrow!	25	25	prepared	prepared
i am really exited on going to disneyland next summer, i will go with all my family and cant wait	22	14	joyful	excited
sounds very nice, you must have felt nostalgic for the old times, right?	38	33	questioning	acknowledging
congratulations!	39	39	Wishing	Wishing
Summer in the South calls for many unwanted visitors.	2	2	annoyed	annoyed
I was terrified when I watched that horror film in the theaters	30	30	terrified	terrified
that's awesome!	33	33	acknowledging	acknowledging
congratulations!	39	39	Wishing	Wishing
Once while on a road trip, a friend and I got lost in the dessert. We flagged down a man driving an old Chevy, and he gave us directions back to civilization.	17	31	grateful	trusting
good thing you had a good adviser.	40	40	neutral	neutral
I felt upset when I had a friend's boyfriend that tried to have an intimate relationship with me. Even though they were with my very good friend, and they knew I was married. I have been married almost 23 years and love my husband.	15	15	faithful	faithful
My brother asked to borrow money from me and promised to pay me back. He has trouble with money but I lent it to him anyway	31	31	trusting	trusting
congratulations!	39	39	Wishing	Wishing
Saw a family house burned down today. It was struck by lightening. Worried about them and hope they are all okay.	27	10	sad	devastated
My cat was playing with a toy and decided to bring it to me. It was a dead mouse!	12	12	disgusted	disgusted
I felt like the world was over when my tire got punctured	10	10	devastated	devastated
I am happy today to my work willing to be the best	17	26	grateful	proud
thats good dear,congratulations	39	39	Wishing	Wishing
I saw a dog devouring a bird ... I was so impressed by the violence	30	20	terrified	impressed
Holding each of my children for the first time was amazing. I can't think of anything else that produces the type of feelings that it produces.	22	28	joyful	sentimental
i use to go to raves when i was in high school.	40	24	neutral	nostalgic
i hope he's feeling better now.	34	35	encouraging	consoling
I was looking back through pictures online of me and my friends years ago.  It made me kind of wish I could be back then for a little while.	24	24	nostalgic	nostalgic
I feel so much better about life in general since hitting the gym!	8	8	confident	confident
My daughter told me she did not love me because I scolded her	28	6	sentimental	ashamed
My wife is coming back into the country next week after being gone for 2 months.  I'm super excited!	22	22	joyful	joyful
Last month I came home from work and noticed my cat wasn't feeling well, so I rushed her to the vet. I had to put her down.	10	7	devastated	caring
I entered a competition to win a PS4. I was told I was in the last 3 to win!	14	11	excited	disappointed
I went bowling yesterday and the ball got stuck on my hand. I went with it.	29	2	surprised	annoyed
My wife's car is getting really old and I am afraid it is going to die soon.	5	27	apprehensive	sad
While I was in college my dog ran away back home and was never found.  My mother had been taking her on a walk in a park and my dog fell down a cliff.  I dreamed about her every night for a month at school, and hoped I'd get a call saying she was found, but she never was.	27	10	sad	devastated
Running from a stranger in the woods when camping.	30	30	terrified	terrified
An online payment distributor won't instantly verify my bank account	11	5	disappointed	apprehensive
I sat in the waiting room last weekend and waited and waited to find out how my dad's neck surgery turned out. This was one of those last ditch effort to keep his cervical vertebrae from having to be fused.	3	4	anticipating	anxious
i hate going outdoors during rain season there is mosquitos everywhere i go i cannot stand them	2	2	annoyed	annoyed
that sucks.	33	33	acknowledging	acknowledging
