input	Gold	Pred	Gold_Label	Predicted_Label
Our cat had to many health problems, so we had to put him down.	27	7	sad	caring
My parents always argue and it pisses me off!	1	1	angry	angry
There was this one time I was invited to my friends birthday party. We were all about to walk in th	13	29	embarrassed	surprised
Felt helpless when my dog passed away.	1	27	angry	sad
I get really upset when ever someone cuts me of in traffic. I just dont see why people think it's ok	16	1	furious	angry
I just made a delicious pie, i let it cool to room temperature and ate it with ice cream it was perf	9	9	content	content
Recently, I had an argument with a friend. I caleld her out on her behavior to her face, but my daug	6	6	ashamed	ashamed
My husband and I are planning a big trip to Washington, DC. I love history and I can't wait till we	3	3	anticipating	anticipating
We are leaving for vacation tomorrow. We are going to Florida for 10 days.	14	14	excited	excited
that's a positive at least, good luck on the move!	39	39	Wishing	Wishing
i felt really proud when i won my poker tournament, there was a lot of people so it was really hard	26	26	proud	proud
I am about to take over my parents house. I have big plans for renovating it.	3	3	anticipating	anticipating
My dog go into the trash can and drug it all over the house. I am so mad right now!	16	16	furious	furious
congratulations!	39	39	Wishing	Wishing
I had a guest over that used my restroom, and they obviously have some sort of digestive issue! They	1	12	angry	disgusted
how long were you lost for?	38	38	questioning	questioning
A few weeks ago a neighbor of mine knocked on the door and handed me some Scottish cheese (I'm Scot	29	29	surprised	surprised
i am sorry to hear that, my wife has done the same thing.	36	36	sympathizing	sympathizing
I once walked around the grocery store with my fly down. When I realized it I went to zip up and a	13	13	embarrassed	embarrassed
lonely: I like being alone, but not feeling bad	23	23	lonely	lonely
I just called someone out for stealing a picture of my dog for internet points when it turns out it	13	18	embarrassed	guilty
i hope everything goes well with it!	34	34	encouraging	encouraging
i'm sorry to hear that.	36	36	sympathizing	sympathizing
it was the grand opening for our restaurant. The whole town was there. almost double the number of p	29	20	surprised	impressed
maybe you'll be productive!	37	37	suggesting	suggesting
I hug my mom from behind, and it was not my mom	13	6	embarrassed	ashamed
I forgot to get my son a bag of chips from the dollar store when I went out today - especially since	18	18	guilty	guilty
day four now since my wife went to visit her family. The house is too quiet now. I have started slee	23	23	lonely	lonely
I was in a huge hurry and needed to get through the checkout. If I didn't get through I couldn't mak	17	2	grateful	annoyed
It makes me angry when people never notice me	1	1	angry	angry
exactly, i get that entirely!	32	32	agreeing	agreeing
One time when I was playing video poker, I put $10 in the machine. On my first deal, I hit the jackp	14	8	excited	confident
I bought some cheap stocks hoping that they would go up in price. They didn't.	11	11	disappointed	disappointed
I have to give a speech at my fathers funeral. I need to make sure the speech goes perfectly, i can'	7	4	caring	anxious
I have a job interview next week. I'm hoping for the best but not getting my hopes up too much. I re	3	19	anticipating	hopeful
Despite working until a few hours before, I scored highly on the ACT the first time I took it back i	29	8	surprised	confident
did you get anything you are especially excited about?	38	38	questioning	questioning
I saw a loose dog today, I wanted to take it home so bad. It worried me that it would get hit. I cou	7	30	caring	terrified
I went to our property management office to request, for the third time, that I change my apartment.	20	2	impressed	annoyed
i have been prepared more for my future	25	25	prepared	prepared
i wish your family the best.	39	39	Wishing	Wishing
i would definitely be	32	33	agreeing	acknowledging
One time my husband was acting a bit to helpful to a woman we know. He said he was only trying to be	21	31	jealous	trusting
I went on a hike in the mountains of LA by myself at night.	30	23	terrified	lonely
sorry to hear that.	36	36	sympathizing	sympathizing
I'm so frustrated with my husband. He dismantled the bathroom to do repairs and still hasn't complet	1	16	angry	furious
i felt really good the day i gratuated ffrom highschool, i was hard but i manage to do it	26	26	proud	proud
After a stressful day at work I found my car's tires had been slashed! I couldn't help but scream.	16	30	furious	terrified
I am waiting to take a big test coming up! I feel prepared, yet I am anxious.	3	4	anticipating	anxious
My kids are growing up well but fast. They are about to go to their next grades.	22	26	joyful	proud
i hope that you hear back from them soon.	35	35	consoling	consoling
i had such a sense of pride when my son got good grades at school last month. He makes my heart warm	26	26	proud	proud
yeah it is really nice to have other people do your shopping	33	32	acknowledging	agreeing
maybe they can visit you instead?	37	37	suggesting	suggesting
My dog hasn't had any accidents in the house. He is finally potty trained, I thought it would take l	29	29	surprised	surprised
I've been so busy packing and getting everything cleaned for our move soon. I like being 10 steps ah	25	9	prepared	content
I let my daughter ride her tricycle down a small hill on her own. At the bottom of the hill the tri	30	31	terrified	trusting
I am so amazed, my daughter got straight A's this year in her summer college class. She is doing so	20	20	impressed	impressed
is everything alright?	38	38	questioning	questioning
Nearly a year ago now, my girlfriend completely surprised me with a puppy!	29	29	surprised	surprised
I went to go grab a cup out of the cabinet the other day and there was a spider sitting in the middl	29	12	surprised	disgusted
My really close friend lost her parents and siblings in a fire and consoling her about the incident	17	10	grateful	devastated
i am sorry for your loss.	36	36	sympathizing	sympathizing
I waited in line for tickets to the new star wars movie for 2 days. After selling two tickets to the	11	3	disappointed	anticipating
I can never get a good answer out of my wife where she wants to go eat and this past time it just ru	16	6	furious	ashamed
i'm so sorry.	36	36	sympathizing	sympathizing
When I was younger, my dad got into a motorcycle accident and it made me not want to drive.	5	0	apprehensive	afraid
what a story, it's just unbelievable how these robbers have absolutely no morals.	32	32	agreeing	agreeing
I missed a chance to get a new job the other week. I really wish I had put my resume in sooner.	6	11	ashamed	disappointed
I got drunk and embarrassed myself in front of my friends.	6	13	ashamed	embarrassed
I recently talked on the phone with my father. I had not spoken to him for a while. The whole experi	24	31	nostalgic	trusting
I left my dogs in the care of a friend while I went out of town for a weekend.	31	7	trusting	caring
I felt very angry when a co-worker of mine pretended he was in a car accident to get out of working	1	16	angry	furious
you should defently and don't let this affect you too much, maybe she has a good reason	37	37	suggesting	suggesting
When my brother got out of college he had a job and a car and was doing so fucking great for himself	21	26	jealous	proud
wishing you all the best	39	39	Wishing	Wishing
well, at least a candidate that deserved the job got it.	40	40	neutral	neutral
It was around the time of my 18th birthday and I had mock exams so I couldnt really celebrate it. Bu	29	6	surprised	ashamed
congratulations, all the hard work paid off!	39	39	Wishing	Wishing
I was so envious of my friend when she won from a lottery ticket she bought for a buck.	21	21	jealous	jealous
I was afraid when I went into the movies alone	0	0	afraid	afraid
Wasn't ready for race to start	29	25	surprised	prepared
My ex recently said that he was wanting to get back together. I'm not sure how to feel about it, we'	19	5	hopeful	apprehensive
I couldn't go to movies and my husband bought me that movie	29	21	surprised	jealous
I lent a friend quite a lot of money a while back and he has promised to repay me. I really believe	31	31	trusting	trusting
going to get a new car: excited	14	14	excited	excited
Received an off-putting email	4	2	anxious	annoyed
I'm really looking forward to this trip I have planned next week.	3	3	anticipating	anticipating
thats true imagine if you had!	40	40	neutral	neutral
I am waiting to receive my final grade for a summer college class that I just finished. I took the f	3	4	anticipating	anxious
My keurig just died and its a 2 hour drive to town just to get another one. When there are 3 coffee	12	2	disgusted	annoyed
There was a strange sound coming from outside my window last night and I was so scared!	0	30	afraid	terrified
i have been more happy when my girl proposed to me	14	22	excited	joyful
sorry to hear that.	36	36	sympathizing	sympathizing
I felt so devastated whenever it's been time to say goodbye to any of our dogs. I've been grateful f	27	27	sad	sad
My husband ran over a cat on accident. I feel so bad, we had to call animal control to pick up the b	28	18	sentimental	guilty
Once when I was in college this guy that I really didn't like more than a friend asked me on a date	18	12	guilty	disgusted
personally, i can't stand cigar smoke, but some people love it!	40	40	neutral	neutral
I found a bunch of dead mice on our apartment floor the other day. I felt sick seeing that	12	12	disgusted	disgusted
I left my cell phone on the table at the starbucks. I was going to the bathroom and didn't worry abo	31	13	trusting	embarrassed
I watched a little drop his candy bar on the ground. He then bent down picked it up and ate it! Didn	12	12	disgusted	disgusted
I hadn't been able to visit my grandmother in a while b/c she lives really far away. Well I finally	24	14	nostalgic	excited
i am patiently anticipating the release of Fallout:76	3	3	anticipating	anticipating
congratulations!	39	39	Wishing	Wishing
My son is teething i gave him motrin	7	7	caring	caring
My friend is struggling with her business right now, so I'm trying to help cheer her on! It's hard	7	7	caring	caring
My family came to visit me last weekend, i was looking forward to catching up with them.	3	22	anticipating	joyful
moving forward from a dark situation	19	0	hopeful	afraid
I got the A honor roll at my school, I was so happy and a bit smug about the whole thing.	26	26	proud	proud
One day my daughter came home and told me a much older boy tripped her as she was going off the bus.	1	13	angry	embarrassed
I went to the dentist for the first time in five years recently. I had a toothache and wanted to get	5	4	apprehensive	anxious
I had just turned 27 when I was accepted to a state university. I was admitted to the engineering co	14	29	excited	surprised
hopefully she gets over this phase and they get along.	35	35	consoling	consoling
I was thinking about my wife and I's second date.	24	5	nostalgic	apprehensive
I saw a homeless lady	7	7	caring	caring
My mother gave me something very unexpected and appreciated. She paid a loan with a high monthly pay	29	17	surprised	grateful
It was my sons first day of school the other day. I was really nervous till he got off the bus.	3	5	anticipating	apprehensive
I just got a new puppy. It is a lot of work to care for it, they need a a lot of attention	7	7	caring	caring
My wife is getting back from being in Germany for 2 months in a week. I can't wait!	14	14	excited	excited
yea, like you can remember those times but things are different	40	40	neutral	neutral
I used to live in California. Early one morning we had a smallish earthquake. It made me realize I h	25	10	prepared	devastated
Overwhelmed with school work and life.	27	9	sad	content
that is so terrible, i'm so sorry.	36	36	sympathizing	sympathizing
I have been saving money and now have enough for any emergency.	25	25	prepared	prepared
My friend just took her kids to Disneyland. I feel bad- I'd been wanting to do that trip with my kid	21	18	jealous	guilty
when I saw the ultrasound and knew it was a boy! It was very funny and made me happy	22	22	joyful	joyful
yeah, that would drive me crazy.	33	33	acknowledging	acknowledging
My dad has dementia. I try my hardest to be as caring with him as I can b/c I know he doesn't mean	7	7	caring	caring
I absolutely could not wait to go on my cruise this summer! I had so many fun activities planned tha	14	14	excited	excited
I tucked my work uniform in and had my name badge on	25	13	prepared	embarrassed
good luck!	39	39	Wishing	Wishing
I will accomplish all my monetary goals for this month. I've dedicated more time to earn more mone.	8	19	confident	hopeful
Skydiving made me give in and let go.	31	31	trusting	trusting
maybe you can just think of some topics/things to talk about to have in the back of your head for th	37	37	suggesting	suggesting
I have seen some pictures of friends of mine traveling around Italy	21	28	jealous	sentimental
i'm sorry you feel lonely.	36	36	sympathizing	sympathizing
congratulations.	39	39	Wishing	Wishing
I step on a lego that my son left on the floor	1	18	angry	guilty
My dog has been scratching at his ears a lot. We took him to the vet and got him meds. Now he isn't	7	2	caring	annoyed
My daughter was voted "Most Artistic" in school and I really felt so happy for her. She is very tale	8	26	confident	proud
i hope you getting better now	35	35	consoling	consoling
Going through a big storm in my city, nervous about damage to my house from strong winds and rain. I	30	4	terrified	anxious
I always get sad when memories of my dad come in mind. he passed away few years ago	28	28	sentimental	sentimental
I just got Hulu Live! It has blown my minds all the things you can watch on it. Great value for the	20	20	impressed	impressed
i'm so sorry that happened!	36	36	sympathizing	sympathizing
I believe in a marriage that you are equal. In order to be equal you have to be honest and respectfu	15	15	faithful	faithful
My wife is returning from a trip abroad in a week. I've got to get to work making the house look ni	3	4	anticipating	anxious
I recently went to the pool. I lost my swim trunks and felt awkward!	13	13	embarrassed	embarrassed
After dropping out of college 6 years ago, I decided to go back this year	19	15	hopeful	faithful
I enjoy helping the wildlife in my area where I live. I give them a helping hand. I give them water,	7	7	caring	caring
I'm on a diet and I ate three chocolate bars yesterday.	18	18	guilty	guilty
My dog, Riley had to be put to sleep due to congestive heart failure. It was one of the hardest thi	27	10	sad	devastated
I felt overcome with emotions when Christmas came around as a kid	22	28	joyful	sentimental
I was most taken aback to learn that someone was not who I thought they were. It was more a statemen	29	29	surprised	surprised
I recently felt hopeful towards my chances with a dating prospect. I hope that she likes me, and I t	19	19	hopeful	hopeful
that is sweet, who from?	38	38	questioning	questioning
wake forest is starting classes now and I remember the excitement of studying abroad through them	24	14	nostalgic	excited
When my daughter went to university, and wife travelled abroad for work, I had the whole house to my	23	31	lonely	trusting
My son is going back to college for his Junior year and we have saved to make sure we have all his f	25	26	prepared	proud
Getting my aggressive rat to be friendly.	29	7	surprised	caring
My roommate's cat passed away last week. There is a heavy air over the household.	27	27	sad	sad
My daughter has been sick, but it looks like she is finally getting better. She had a bad bacterial	19	7	hopeful	caring
The world is a crazy place. There are a handful of special people trying to lead us into the next de	19	29	hopeful	surprised
When I think back to high school I get very nostalgic	24	24	nostalgic	nostalgic
I have been looking for a job for a while. I was finally offered one that I think I will like	9	19	content	hopeful
i can never cheat on my girlfriend.. this one time a super hot girl was so close to breaking me, but	15	15	faithful	faithful
Eating a bunch of garlic made me sort of tentative	5	5	apprehensive	apprehensive
congratulations, again.	39	39	Wishing	Wishing
aw, i'm sorry, well i'm here to talk to you!	36	36	sympathizing	sympathizing
that is awesome, i hope that happens to me on my next trip, where where you going	35	33	consoling	acknowledging
I fainted on a plane!	13	30	embarrassed	terrified
anticipate: can't wait for my baby boy	3	3	anticipating	anticipating
Last night I heard a weird noise outside. It really scored my wife and I.	0	29	afraid	surprised
i bet you'll look flawless!	34	34	encouraging	encouraging
I was so scared of tornadoes growing up -- whenever tornado warnings happened, I was extremely frigh	30	30	terrified	terrified
I am going fishing at my favorite spot tomorrow. I know I am going to catch something!	8	14	confident	excited
My brother got a 4runner for this first car! I lowkey am pissed at him!	21	21	jealous	jealous
oh.. well i understand.	32	32	agreeing	agreeing
i think the chances i take should be directly proportionate to the consequences of the actions.	37	37	suggesting	suggesting
I have started searching for a new job, and I'm feeling pretty good about it.	8	9	confident	content
Snakes make me almost pee my pants they make me so scared i dont even like seeing them in pictures	30	30	terrified	terrified
My husband and I had an argument a few weeks ago. I got pretty mad and said some things I wished I h	6	16	ashamed	furious
I was jealous the other day when a friend got an item I wanted in a game. It may sound silly, but s	21	21	jealous	jealous
My sister is always the sibling that my parents talk about. Sometimes I wonder if they even notice m	21	18	jealous	guilty
I remember a while back, being in Scotland for a while, and being so happy to be flying to Californi	22	22	joyful	joyful
I can't seem to feel happy : joyful	22	27	joyful	sad
I'm glad that life is being good to me	17	17	grateful	grateful
that was kind of you!	40	40	neutral	neutral
It's been a peaceful night! I have a nice cold drink and watching my favouite show. Life is good.	9	9	content	content
My wife recently spent way more money on clothes than she told me. I wish she would have just told m	6	11	ashamed	disappointed
I have been practicing my jump shot for months. I am read for a game of horse against my friends.	8	25	confident	prepared
for a long time I wasn't sure what would happen. But almost 2 years on and no sign of them	4	29	anxious	surprised
Drinking a gallon of milk made me sick	12	12	disgusted	disgusted
I had a pleasent event happen the other day. I found out a nephew of mine wants to come live in Texa	29	21	surprised	jealous
I just found out my husband is cheating on me. I am so disgusted not sure what to do next.	1	12	angry	disgusted
My Mom has bought me some books online. The should be delivered today. I'm eagerly waiting for the	14	3	excited	anticipating
My best friend was going to travel from Wisconsin to see my this summer, but she ended up not being	11	11	disappointed	disappointed
you should definitely try!	32	32	agreeing	agreeing
does one stand out from the rest that you remember vividly?	38	38	questioning	questioning
good luck with that!	39	39	Wishing	Wishing
i hope everything is good now!	35	35	consoling	consoling
I just applied for graduate school! I feel good about my chances!	19	19	hopeful	hopeful
that is very good to hear, hopefully things truly turn around for him.	34	34	encouraging	encouraging
yes my attitude is better than coworker but coworker is not happy	21	21	jealous	jealous
My husband ate the last of the bread and didn't tell me. He ruined my entire dinner plan	1	16	angry	furious
I came home yesterday and my dog had pooped all over the floor. He hasnt done that in ages.	1	2	angry	annoyed
going to get a new car soon	14	14	excited	excited
man, i definitely have to go there.	32	32	agreeing	agreeing
i've always liked the idea of meditation, but i feel like it'd be hard.	40	5	neutral	apprehensive
i felt heartbroken when my dog was hit by a van.. she passed away eventually	10	10	devastated	devastated
My son just graduated from high school! He has worked so hard, and he even earned a scholarship.	26	26	proud	proud
One time someone came to my door with a gun. He came to the house asking for money but I didn't have	30	30	terrified	terrified
joyful: so happy to be having a boy	22	22	joyful	joyful
I thought she wanted to do it. I didn't force anything	6	40	ashamed	neutral
I was looking at pictures from my wedding, specifically one of a bunch of my friends and I having a	28	28	sentimental	sentimental
We are moving soon. I am really looking forward to the change and my kids to have a new school to go	19	3	hopeful	anticipating
that is very cool!	33	33	acknowledging	acknowledging
Parents took me out for birthday dinner	17	29	grateful	surprised
When I heard on the news that there was a tornado warning, I didn't think much of it. Then I heard t	31	30	trusting	terrified
sorry, just tryy to be patient with them	36	36	sympathizing	sympathizing
that's scary when that happens	33	33	acknowledging	acknowledging
I have problems with the city and their constant tax increase on my property.	31	2	trusting	annoyed
you must feel awful, why don't you come clean, maybe you will feel better.	37	37	suggesting	suggesting
congratulations.	39	39	Wishing	Wishing
what was the reason?	38	38	questioning	questioning
My daughter just bought her first car on her own. She saved for the last two summers to be able to a	26	26	proud	proud
I remember back when I got to pick up my dog at the airport when she was a puppy.	14	24	excited	nostalgic
Even though I'm a christian and I serve God to the best of my abilities, lately I have kind of been	21	15	jealous	faithful
I had a job interview. The guy really knew his stuff.	20	20	impressed	impressed
i haven't met a pizza i didn't like yet.	40	40	neutral	neutral
My good friend just started work at a fantastic golf resort up in Michigan. I've seen it and it's st	21	20	jealous	impressed
I have been really worked up lately waiting for my niece and newphews to visit. They are so importan	3	3	anticipating	anticipating
One morning my mother came by to get my daughter for school, and told me she saw that my daughter's	27	29	sad	surprised
We recently went to the beach for our vacation and it rained a few days while there. We were hoping	11	19	disappointed	hopeful
I feel alone whenever i think about my dad.. He passed away last year.	23	23	lonely	lonely
I recently started talking to and lightly dating a woman. I really enjoy her company. I thought we w	29	15	surprised	faithful
Going out today to learn a new route for my job and hoping I don't get lost.	5	25	apprehensive	prepared
We paid 600$ for a cruise, but they canceled it with not refunds one week before. so mad	1	16	angry	furious
i would be too.	33	33	acknowledging	acknowledging
I recently went to a rock concert. We weren't going to go, but someone gave her 3 free tickets. We w	17	29	grateful	surprised
I was in charge of moving a whole bunch of stuff at work from one building to another, and one of my	1	2	angry	annoyed
I was on my way home from work, and a seagull threw up all over my suit in the middle of the train s	13	12	embarrassed	disgusted
I'm very annoyed because my friend didn't give me my money back	2	1	annoyed	angry
I decided to go back to school this year. I'm was pretty hesitant at first, but now I'm excited abou	5	5	apprehensive	apprehensive
I was so mad when I went to work the other morning when I was going to work and my neighbors dog jum	1	16	angry	furious
When a new star wars movie comes out, a lot of kids (and adults to) dress up for the midnight premie	24	3	nostalgic	anticipating
i hope my little ones are like that.	34	34	encouraging	encouraging
I'm loyal to my principles, that's why I do not eat meat	15	15	faithful	faithful
I wanted to start a ketogenic diet, but I knew nothing about it. So I rented some books from the lib	25	11	prepared	disappointed
Once, I was showing some people around the downtown area in my city. While at dinner, I soiled mysel	13	13	embarrassed	embarrassed
I prayed, and prayed for weeks that I would do good in a test. Luckily God answered my prayers, and	15	17	faithful	grateful
My dog had a medical emergency and I didn't have the money to cover it, so my parents loaned me some	17	17	grateful	grateful
I was sad when my dog died	27	27	sad	sad
I recently got my tires fixed on my car. The shop did it so quickly!	20	20	impressed	impressed
i hope you get one very soon buddy	34	34	encouraging	encouraging
she got with him for money	21	40	jealous	neutral
My long term boyfriend and I broke up recently. I'm so lost right now.	27	27	sad	sad
My husband travels extensively for work, so I have to have faith that he will be loyal and faithful	31	15	trusting	faithful
I just did a bunch of work and messed it up in the end. Now I'm not sure if I'll get paid.	2	5	annoyed	apprehensive
My husband is on the road a lot, it often gets lonley. I have to remember he does it for our family	15	23	faithful	lonely
My mother recently took out a bunch of money on my behalf from the bank. I trust her so much!	31	31	trusting	trusting
I was eating dinner last night and and I just felt so happy for a moment it was great	9	9	content	content
I was chased by someone down a street last night, I was shaking in fear.	30	30	terrified	terrified
he is correct.	32	32	agreeing	agreeing
hopefully she re considers you should talk to her about it	35	35	consoling	consoling
happy birthday!!!!	39	39	Wishing	Wishing
When I got my first car I thought I'd finally have a cool social life. My first night out I spent a	23	14	lonely	excited
what if someone did that to your stuff?	37	40	suggesting	neutral
I pooed my pants one day at work. I have MS and sometimes during flare ups i have bowel control prob	13	13	embarrassed	embarrassed
We are going to be having our 7th grandbaby soon! I am so happy!!	22	22	joyful	joyful
well hopefully you're able to familiarize yourself quickly.	35	34	consoling	encouraging
My dog got very sick and didn't leave her bed for weeks. I was so concerned that I stayed with her	7	31	caring	trusting
I had planned to take my daughters shopping a couple of weeks ago. We were all very excited about it	11	14	disappointed	excited
i wish you the best in the new position.	39	39	Wishing	Wishing
i hope it goes exactly how you planned.	34	34	encouraging	encouraging
My parents have not gotten over the loss of my sister. They need to get some help from a trained pro	0	7	afraid	caring
did you have candles or a flash light to help yous see?	38	38	questioning	questioning
it's ok to be nervous, but don't let it stop you!	40	40	neutral	neutral
I waited at a restaurant for 30 minutes before I called and left my girlfriend an angry voicemail.	18	1	guilty	angry
I wanna sell my phone but i'm scared to meet people from craigslist	0	5	afraid	apprehensive
I saw a horror film last night. It was so scary!	30	30	terrified	terrified
good luck to you!	39	39	Wishing	Wishing
I bought a new tv. The colors are so vibrant and it is so sharp!	20	9	impressed	content
I was bathing my dog in the backyard this weekend, and she got loose. She then went and rolled in th	12	12	disgusted	disgusted
My husband usually gets a large bonus this month or September. It's not a guarantee, so it's not eas	3	29	anticipating	surprised
Today when I was home alone I was snuggling with a stuffed bunny my ex got me, because I missed him.	23	23	lonely	lonely
One day I found out that my boyfriend was texting his ex-girlfriend. I think he likes her more than	21	21	jealous	jealous
I had to wait a few weeks to get some results back from a test at the doctor's office.	4	4	anxious	anxious
Last week I had Thai food for lunch, and it didn't sit well with my stomach. I had some explosive is	13	12	embarrassed	disgusted
When I found out that I wasn't going to be one of the ones who gets to walk on the moon during the u	10	11	devastated	disappointed
I am in love with my girlfriend. I would absolutely never leave her side.	15	15	faithful	faithful
i've read an article about a little newborn babygirl. She died because she was premature and she had	27	7	sad	caring
A few months ago we were planning our wedding and I couldn't wait for the actual day. It was a small	14	3	excited	anticipating
I felt so much love and affection when my son was moving to college. It was hard, as I wasn't ready,	7	10	caring	devastated
I really enjoy watching videos on YouTube. I feel the content is really good.	9	20	content	impressed
I gave twin fawns in our yard some fresh peaches and they loved them.	7	7	caring	caring
Sometimes I look back to my childhood and I miss when things were more simple, like when I would rid	24	24	nostalgic	nostalgic
I was walking home from work one day. Then this huge bat came out of nowhere, and chased me for a wh	30	29	terrified	surprised
hopefully you and your house will stay nice and dry.	34	35	encouraging	consoling
congratulations on your upcoming finish!	39	39	Wishing	Wishing
I get annoyed when adults don't seem to be able to clean up after themselves -- especially at work!	2	2	annoyed	annoyed
I've been saving up for a new car for the past month and am making great progress!	26	26	proud	proud
Last week we had to go to a funeral. It really hit me hard seeing all my grieving friends.	27	27	sad	sad
my uncle use to be an iron worker, so i know exactly what you are talking about.	32	32	agreeing	agreeing
I was astonished when the cat came through the window	29	29	surprised	surprised
I've got a job interview set up for next week and I'm really nervous!	5	4	apprehensive	anxious
Last year when I turned 40, I was trying to keep things very low key because I wasn't feeling great	29	5	surprised	apprehensive
when they just cut in front of you with no warning.	38	1	questioning	angry
Went on a long international flight and we experienced the worst turbulence I had ever been through.	30	4	terrified	anxious
I'm anxious, if excited, about an upcoming move. We've lived overseas before, but *this* is a very d	5	4	apprehensive	anxious
My grandpa is coming to visit!	22	22	joyful	joyful
It was really cool to be at the award ceremony for my friend whose paper received a scholarship. I k	20	21	impressed	jealous
I was confident that I was going to win that prize	8	8	confident	confident
yes, i agree, are you hoping for something in particular.	32	38	agreeing	questioning
i was beet red when i realized what had happened.	40	40	neutral	neutral
ooh, am so sorry about that.	36	36	sympathizing	sympathizing
that must have been so nostalgic for you!	33	33	acknowledging	acknowledging
I just got my degree in marketing and I have achieved it with flying ranks.	22	26	joyful	proud
Found out some bad news today. Due to a technicality, custody reverts back to my kids dad.	10	10	devastated	devastated
when my wife left me a year ago i went a little stir crazy. it was so silent in the house, i had to	23	23	lonely	lonely
I feel blue whenever i see a picture of my dog.. She died few months ago	28	27	sentimental	sad
I was given the opportunity to work at a new job that I was hoping to get! I never thought it would	17	29	grateful	surprised
I came home from work last night and my step dad scared me!	29	30	surprised	terrified
what was is your doctorate in?	38	38	questioning	questioning
My brother has gotten really good at bowling. He spins it like crazy!	20	20	impressed	impressed
when my sister came home for christmas	29	29	surprised	surprised
My grandma sent me a birthday card in the mail! She is such a sweet lady.	17	7	grateful	caring
I felt this morning I left the house and my neighbor gave me some flowers ... incredible I did not e	29	29	surprised	surprised
My husband came home from shopping a couple days before Mother's Day and he gave me some unexpected	29	29	surprised	surprised
My friend bought me lunch	17	17	grateful	grateful
Taking a large amount of classes this upcoming semester.	30	25	terrified	prepared
Getting woken up in the middle of the night was scary as heck	30	30	terrified	terrified
i was feels more surprised that my boy friend give me a gift for my birthday	29	29	surprised	surprised
It seems like no one lately can drive right. They're always speeding or cutting you off. Also no bli	1	2	angry	annoyed
I stole a TV from a local appliance store. It is a 80 inch behemoth, but I am feeling a little guilt	6	18	ashamed	guilty
i wish you the best of luck with the remaining classes!	39	39	Wishing	Wishing
mostly me and my older brother when we were younger.	40	40	neutral	neutral
I'm so happy, my husband was offered a better paying job in his hometown. We move in November.	17	22	grateful	joyful
My roommate ate my lunch that I left in the fridge! I cannot stand that!	16	1	furious	angry
sorry to hear that.	36	36	sympathizing	sympathizing
I think it's great how well my husband is doing in his new manager job. He's become the top assistan	20	26	impressed	proud
It really bothers me that my son keeps putting dirty socks in his toy box. No matter what I have tri	2	2	annoyed	annoyed
sometimes it's not just a shadow	40	37	neutral	suggesting
sorry.. hopefully he is at a better place now.	35	35	consoling	consoling
Thank God it's friday	22	17	joyful	grateful
I heard a lot of cool songs on a radio station I usually don't listen to. It really took me back to	24	24	nostalgic	nostalgic
my little brother dumped a glass of water on me while i was sleeping just because we are in a prank	16	16	furious	furious
i hope it dont bite anyone.	34	34	encouraging	encouraging
When I took my daughter to the skate park she was able to ride up and down a lot of ramps. She was w	20	20	impressed	impressed
I woke up this morning, and my mailbox had been smashed in. I think the neighborhood teens had smash	1	16	angry	furious
but they are wrong.	40	40	neutral	neutral
I really was grossed out when my nephew threw up the other day. He had eaten to much sugar and was s	12	12	disgusted	disgusted
A customer is refusing to pay a bill because they claim it has already been paid but cannot provide	1	1	angry	angry
My boss made me work overtime yesterday and I didn't even get paid for it!	2	1	annoyed	angry
good luck!	39	39	Wishing	Wishing
I was looking at old photos of my family. It made me feel sad and nostalgic about the past.	28	28	sentimental	sentimental
I am annoyed by people who won't return their grocery carts, and just leave them in the parking lot!	2	2	annoyed	annoyed
I was going to go to the movies with a bunch of friends. But they all bailed on me and now I have to	23	23	lonely	lonely
My boyfriend has a female friend who he sometimes chooses to hang out with over me. We had a date pl	21	21	jealous	jealous
I went to my mother in laws funeral last Sunday. My wife was very tearful, and needed to have her fa	27	7	sad	caring
I asked out a girl from my class and she said yes.	8	8	confident	confident
I very much like this new female friend of mine. I just want to give her all of my love.	7	7	caring	caring
oh no i hope you stay safe	35	35	consoling	consoling
I was traveling internationally literally the day after a high level travel alert was issued for the	0	29	afraid	surprised
I just had a delicious breakfast and am now casually relaxing in my room.	9	9	content	content
I had an unprofessional job interview.	2	6	annoyed	ashamed
my friend is so nosy	2	2	annoyed	annoyed
I recently had an argument with my sister. The debate grew heated and we ended the conversation both	2	16	annoyed	furious
I wanted to try this new pizza and it was terrible!	11	11	disappointed	disappointed
When my neighbors were away for a week I enjoyed a new lease of life. Peace and quiet, able to do wh	9	9	content	content
maybe i'll have to check it out	37	37	suggesting	suggesting
I work with a programming wizard. I recently asked for his help with a hard problem and I just sat b	20	31	impressed	trusting
I was so scared of going on the train, I do not like fast moving objects	5	0	apprehensive	afraid
I always feel so protective of my little sister.. I feel obliged to look after her	7	7	caring	caring
I have an appointment soon with my orthopedic surgeon, when he's going to tell me whether or not he	5	19	apprehensive	hopeful
I went back to my home where I grew up and a flood of good memories came bavk to me. I had so many f	24	24	nostalgic	nostalgic
It means a lot to me that my in-laws are helping us buy school clothes for our girls. That takes a b	17	28	grateful	sentimental
that is great.	33	33	acknowledging	acknowledging
well at least you had a good time.	40	40	neutral	neutral
A squad car cut in to my lane head on the other day and I had nowhere to go, I was on a small crossb	0	13	afraid	embarrassed
I recently moved to a new city. I left behind some good friends.	28	23	sentimental	lonely
